"PixelID","mpa_status","Site_ID_12","Estab_Yr_1","AreaMar_12","region"
1129,"Full","CA136",2003,105.798553467,"South_Coast"
1216,"Full","CA137",2003,11.8396339417,"South_Coast"
1217,"Full","CA137",2003,11.8396339417,"South_Coast"
1074,"Full","CA138",2003,65.721534729,"South_Coast"
1086,"Full","CA138",2003,65.721534729,"South_Coast"
1088,"Full","CA138",2003,65.721534729,"South_Coast"
1103,"Full","CA138",2003,65.721534729,"South_Coast"
1106,"Full","CA138",2003,65.721534729,"South_Coast"
1107,"Full","CA138",2003,65.721534729,"South_Coast"
1138,"Full","CA138",2003,65.721534729,"South_Coast"
1139,"Full","CA138",2003,65.721534729,"South_Coast"
1378,"Full","CA139",2003,3.559851408,"South_Coast"
1390,"Full","CA139",2003,3.559851408,"South_Coast"
1144,"Full","CA140",2003,33.0781555176,"South_Coast"
1145,"Full","CA140",2003,33.0781555176,"South_Coast"
1183,"Full","CA140",2003,33.0781555176,"South_Coast"
1184,"Full","CA140",2003,33.0781555176,"South_Coast"
1187,"Full","CA140",2003,33.0781555176,"South_Coast"
1240,"Full","CA140",2003,33.0781555176,"South_Coast"
1241,"Full","CA140",2003,33.0781555176,"South_Coast"
1244,"Full","CA140",2003,33.0781555176,"South_Coast"
1281,"Full","CA140",2003,33.0781555176,"South_Coast"
1453,"Full","CA141",2003,33.7579994202,"South_Coast"
1461,"Full","CA141",2003,33.7579994202,"South_Coast"
1462,"Full","CA141",2003,33.7579994202,"South_Coast"
1463,"Full","CA141",2003,33.7579994202,"South_Coast"
1471,"Full","CA141",2003,33.7579994202,"South_Coast"
1472,"Full","CA141",2003,33.7579994202,"South_Coast"
1391,"Full","CA142",2003,51.7226676941,"South_Coast"
1392,"Full","CA142",2003,51.7226676941,"South_Coast"
1412,"Full","CA142",2003,51.7226676941,"South_Coast"
1413,"Full","CA142",2003,51.7226676941,"South_Coast"
1414,"Full","CA142",2003,51.7226676941,"South_Coast"
1415,"Full","CA142",2003,51.7226676941,"South_Coast"
1416,"Full","CA142",2003,51.7226676941,"South_Coast"
1431,"Full","CA142",2003,51.7226676941,"South_Coast"
1432,"Full","CA142",2003,51.7226676941,"South_Coast"
1121,"Full","CA143",2003,24.9011955261,"South_Coast"
